MAXDOP Configuration
Server Name,CPU Count,Hyperthread Ratio,Socket Count,NUMA Node Count,Soft-NUMA Configuration,Current MAXDOP,Recommended MAXDOP,MAXDOP Recommendation
EC2AMAZ-5BJJHNE\SQL2022_DEV,2,2,1,1,OFF,2,2,No change needed


Memory Configuration
Server Name,Memory Model,Physical Memory (GB),Target Memory (GB),Recommendation
EC2AMAZ-5BJJHNE\SQL2022_DEV,CONVENTIONAL,8.00,2.96,RECOMMENDATION: Enable Lock Pages in Memory to prevent SQL Server buffer pool from being paged out


Database File Information
Server Name,Database Name,File Name,File Type,Size (MB),Growth Setting,Max Size,Recommendation
EC2AMAZ-5BJJHNE\SQL2022_DEV,master,master,ROWS,4.00,10%,Unlimited,RECOMMENDATION: Change from percentage growth to fixed size
EC2AMAZ-5BJJHNE\SQL2022_DEV,master,mastlog,LOG,1.25,10%,Unlimited,RECOMMENDATION: Change from percentage growth to fixed size
EC2AMAZ-5BJJHNE\SQL2022_DEV,tempdb,tempdev,ROWS,8.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,tempdb,templog,LOG,8.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,tempdb,temp2,ROWS,8.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,model,modeldev,ROWS,8.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,model,modellog,LOG,8.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,msdb,MSDBData,ROWS,18.56,10%,Unlimited,RECOMMENDATION: Change from percentage growth to fixed size
EC2AMAZ-5BJJHNE\SQL2022_DEV,msdb,MSDBLog,LOG,3.38,10%,2 TB,RECOMMENDATION: Change from percentage growth to fixed size
EC2AMAZ-5BJJHNE\SQL2022_DEV,test,test,ROWS,8.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,test,test_log,LOG,8.00,64.000000 MB,2 TB,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,AdventureWorks2022,AdventureWorks2022,ROWS,200.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,AdventureWorks2022,AdventureWorks2022_log,LOG,72.00,64.000000 MB,2 TB,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,distribution,distribution,ROWS,77.00,64.000000 MB,Unlimited,Settings OK
EC2AMAZ-5BJJHNE\SQL2022_DEV,distribution,distribution_log,LOG,137.00,64.000000 MB,2 TB,Settings OK
